max0_1,max0_2,max0_3,max1_1,max1_2,max1_3,label
3429,3286,2820,37,34,32,0
2405,2352,2315,81,13,8,1
3461,2459,2362,45,44,14,1
4025,2963,2696,67,61,46,0
2211,2094,2001,375,40,38,0
3274,2530,1988,77,27,6,1
4138,3657,2612,261,252,96,0
4137,2634,2620,121,35,30,0
3073,2748,2655,4,3,2,1
3398,2512,2131,44,27,24,1
4517,3876,3754,45,40,24,0
3178,3134,2918,38,30,20,0
6845,5502,4072,1512,1087,452,0
2564,2397,1749,35,33,20,0
4566,4310,3970,566,531,332,1
3800,3645,3234,11,7,4,0
2914,2441,2429,5,3,1,0
3340,3269,2938,61,34,17,0
3746,2406,2329,220,81,78,1
3866,3440,3241,63,26,20,0
3136,2761,2685,39,24,16,1
2940,2444,2303,92,58,32,1
3225,2832,2634,158,53,52,0
2701,1947,1890,111,55,20,0
2547,2151,2122,46,32,31,0
2533,2283,2132,122,101,56,0
5292,3332,2791,94,72,47,0
2976,1842,1814,22,9,8,0
2024,1653,1446,124,86,45,1
1833,1712,1673,24,23,15,0
3023,3009,2124,20,11,7,0
3008,1978,1933,91,68,4,0
4202,4058,4002,45,37,36,0
3034,2828,2498,391,71,22,1
3947,3806,3797,223,146,13,0
2934,2531,2529,13,8,2,0
4187,3712,3676,103,48,37,0
3191,2635,2071,83,32,24,1
2473,2190,2159,63,29,12,1
4580,2698,2472,82,34,30,0
3142,2814,2795,151,145,101,0
4184,2493,1832,31,5,1,1
4848,4675,4323,395,131,70,0
2208,2091,2030,156,14,10,1
3095,2897,2656,41,24,14,1
1615,1473,1458,11,3,2,1
3030,2476,2263,131,65,54,0
3747,3080,2313,27,11,10,1
3008,2268,1920,207,21,4,0
5477,4693,4080,84,32,26,1
4684,4502,3779,215,29,23,1
3818,3572,3568,84,53,18,1
4496,3238,3141,32,29,24,0
4595,4134,3850,55,1,0,0
3470,3090,2895,598,521,69,0
8122,7067,6231,349,321,167,1
1863,1614,1523,31,16,15,1
1799,1777,1741,54,26,23,0
1865,1615,1456,28,17,13,1
3112,2572,2406,302,15,1,1
2344,2338,1983,30,13,8,1
2485,2255,1897,60,23,11,0
2175,1797,1769,98,45,29,1
2780,2325,2021,347,266,185,0
4552,4540,3628,111,61,50,0
5176,4787,4450,254,250,176,0
2411,2249,2046,32,25,23,1
2486,1861,1804,46,44,8,0
2421,2100,1707,56,12,11,0
4157,3667,3174,351,78,58,1
2206,2010,1887,48,23,9,0
1571,1546,1523,12,8,0,0
3544,2600,2585,51,36,27,0
2149,2098,2055,345,216,184,0
2768,1797,1684,27,11,9,0
2753,2526,2324,93,31,7,0
5246,5012,4742,368,348,301,1
3077,3062,2700,70,27,22,0
4196,3251,3078,226,126,107,0
3613,3007,2980,1618,614,225,0
3438,2908,2851,87,76,51,0
2672,2087,2037,98,89,76,0
2069,2036,1868,17,9,2,0
2414,1972,1954,1,0,0,1
1821,1678,1596,22,18,5,0
3533,1747,1687,9,8,5,1
2148,2104,2088,256,33,28,0
4411,4143,3707,402,318,62,0
3005,2495,2216,64,8,1,0
2008,1867,1670,41,35,16,0
4339,4001,3605,433,218,217,1
2741,2500,2324,33,4,1,0
2092,1962,1488,45,5,4,0
2356,2148,2111,43,38,9,0
6702,5894,4250,2882,2582,1529,1
2887,2722,2473,35,22,20,0
4350,3952,3900,431,308,256,0
3160,2343,2081,19,9,8,0
4279,2494,1668,23,19,13,1
1988,1965,1828,113,53,35,1
